elements_number,y_component_number,vector_length,temporary_size,vector_recompute,load_overlap,threads_number,lws_y,time_per_pixel
3,3,8,2,true,false,512,64,2.196250790686582e-09
4,2,4,4,true,false,128,128,6.241166333770269e-09
3,3,1,2,true,true,32,2,3.529441470887271e-10
4,4,2,4,true,false,512,128,1.567177821941935e-09
2,1,8,2,true,true,256,64,3.3911550938257363e-09
4,4,8,4,true,false,512,64,2.0781711649902126e-09
4,1,4,2,true,true,32,16,2.332358393796383e-09
3,3,4,2,true,false,256,4,5.087508001783273e-10
3,3,4,4,true,false,512,512,1.1828832885091033e-08
3,3,8,4,true,false,128,1,7.483889737203053e-10
4,1,16,2,true,false,512,2,7.652539371753412e-10
2,2,16,4,true,false,128,16,4.048265245783325e-09
3,3,2,2,true,false,512,256,3.4200432625431806e-09
4,1,2,2,true,true,256,4,3.046996821804567e-10
3,1,16,2,true,true,128,16,2.081811053103558e-09
1,1,1,2,true,false,32,32,5.375363431530459e-09
4,2,16,4,true,true,32,16,7.627172547021843e-09
4,2,4,4,true,true,64,32,3.201661392903225e-09
4,2,16,2,true,false,512,512,1.6115406511045317e-08
4,1,16,2,true,false,256,2,7.292881253388576e-10
2,1,16,2,true,false,128,16,2.958466550416981e-09
2,2,8,4,true,false,256,4,8.640146398349909e-10
2,1,4,2,true,true,32,4,1.2768591651792053e-09
2,2,8,4,true,false,128,8,1.3906561287853804e-09
4,2,4,4,true,true,32,32,6.2252914700740114e-09
3,1,1,4,true,true,64,16,1.437455472149266e-09
3,1,2,2,true,true,128,64,3.0606929313648047e-09
2,2,1,4,true,true,32,32,3.6635400006438608e-09
3,1,4,2,true,true,64,1,3.8012269272106735e-10
2,1,4,4,true,true,512,4,4.6242349371249544e-10
4,4,2,2,true,true,64,8,7.776161348242337e-10
2,1,1,2,true,true,128,128,5.304710097068705e-09
1,1,2,4,true,true,512,64,1.4336047989541337e-09
3,3,8,4,true,false,256,256,1.7095693780550275e-08
2,2,2,4,true,false,512,256,3.8077717262984086e-09
4,2,8,2,true,true,64,2,5.013050551516259e-10
2,2,4,2,true,true,128,8,9.449251953949582e-10
4,4,8,2,true,false,128,2,6.851425343408767e-10
4,4,8,2,true,false,512,256,8.826740965834165e-09
4,4,8,2,true,true,128,16,1.964926026762802e-09
2,2,4,4,true,false,512,32,9.332671794594876e-10
4,2,4,4,true,false,512,32,5.036773539973978e-10
2,2,1,2,true,false,64,64,3.7755964894391425e-09
4,1,8,2,true,false,256,2,4.3703185378674347e-10
4,1,16,4,true,true,32,8,2.9004647645524533e-09
3,3,8,2,true,true,256,32,2.1339531719290244e-09
1,1,4,4,true,true,128,128,1.7927840647933666e-08
2,2,16,4,true,false,64,64,3.087911074803976e-08
2,1,8,4,true,true,512,512,1.2930563344473806e-08
4,1,1,2,true,true,128,8,3.8973271878531714e-10
4,2,8,2,true,true,32,32,9.137714602799166e-09
1,1,2,4,true,false,128,64,5.3429120639366545e-09
4,1,16,2,true,true,512,4,7.395333134716837e-10
3,3,1,2,true,false,512,8,1.3804960930202766e-10
