"elements_number","y_component_number","vector_length","temporary_size","vector_recompute","load_overlap","threads_number","lws_y","time_per_pixel","point_number","method","slowdown"
6,6,1,2,"true","true",256,1,1.17919974204394e-10,120,"GA",1.01217714049193
4,4,1,4,"true","false",512,2,1.25669123061854e-10,120,"GA",1.07869268533249
5,5,1,2,"true","true",256,1,1.18611767942795e-10,120,"GA",1.01811521682436
5,5,1,4,"true","false",1024,32,1.28201182372607e-10,120,"GA",1.10042685352584
6,6,1,2,"true","true",256,1,1.17919974204394e-10,120,"GA",1.01217714049193
5,5,1,2,"true","false",512,4,1.17865496298058e-10,120,"GA",1.01170952428163
6,6,1,2,"true","true",256,1,1.17919974204394e-10,120,"GA",1.01217714049193
4,4,1,4,"true","false",256,2,1.25602448835109e-10,120,"GA",1.07812038086391
4,4,1,4,"true","false",128,2,1.25109511762482e-10,120,"GA",1.07388920934288
10,5,1,2,"true","false",128,1,1.4570040692598e-10,120,"GA",1.25063308608961
12,6,2,2,"true","true",256,1,1.40342357749494e-10,120,"GA",1.20464176926087
8,4,2,2,"true","true",256,8,1.46263673963271e-10,120,"GA",1.25546794144796
6,6,1,4,"true","true",256,4,1.19017999801124e-10,120,"GA",1.02160214601948
8,4,2,2,"true","false",1024,16,1.44736414512629e-10,120,"GA",1.24235856694232
4,4,1,4,"true","false",256,2,1.25602448835109e-10,120,"GA",1.07812038086391
10,5,1,4,"true","true",64,1,1.44966327511122e-10,120,"GA",1.24433204669371
5,5,1,2,"true","true",256,4,1.17379768662026e-10,120,"GA",1.0075402356347
4,4,1,4,"true","false",512,8,1.25366521299284e-10,120,"GA",1.07609527476814
4,2,2,4,"true","true",512,4,1.83700632485169e-10,120,"GA",1.57681158048004
12,6,1,4,"true","true",1024,4,1.44872092405152e-10,120,"GA",1.24352317083754
6,6,1,4,"true","true",512,8,1.18144018844621e-10,120,"GA",1.01410024864063
4,4,1,4,"true","false",1024,8,1.25784000386163e-10,120,"GA",1.07967874560269
3,3,1,4,"true","false",512,2,1.35341152549115e-10,120,"GA",1.16171345611556
6,6,1,2,"true","false",1024,8,1.17642516833282e-10,120,"GA",1.00979555916615
4,4,1,4,"true","true",256,2,1.24879203669815e-10,120,"GA",1.07191233826366
4,4,1,4,"true","true",256,4,1.25460339973732e-10,120,"GA",1.07690057614535
10,5,1,2,"true","true",64,2,1.45342496314116e-10,120,"GA",1.24756092683828
8,4,2,2,"true","false",1024,4,1.44707490966572e-10,120,"GA",1.24211029897637
12,6,2,2,"true","true",512,8,1.34502841297936e-10,120,"GA",1.15451773299244
4,4,1,2,"true","false",512,1,1.30767911062145e-10,120,"GA",1.1224586095784
6,6,1,2,"true","false",256,1,1.18202032710546e-10,120,"GA",1.01459821609116
12,6,2,4,"true","true",64,2,1.37227036791841e-10,120,"GA",1.17790112010532
5,5,1,2,"true","true",256,1,1.18611767942795e-10,120,"GA",1.01811521682436
5,5,1,2,"true","false",256,4,1.17561537135523e-10,120,"GA",1.00910046234758
6,6,1,2,"true","true",1024,2,1.16501321248061e-10,120,"GA",0.999999999999996
12,6,2,4,"true","false",256,4,1.36838289752556e-10,120,"GA",1.17456427349173
5,5,1,2,"true","false",128,2,1.18427245214453e-10,120,"GA",1.01653134870712
6,6,1,2,"true","false",256,4,1.17149348789584e-10,120,"GA",1.00556240508331
4,4,1,4,"true","false",1024,4,1.25778542785017e-10,120,"GA",1.07963189977221
12,6,1,2,"true","false",128,2,1.37325279558869e-10,120,"GA",1.17874439609546
6,6,1,2,"true","false",128,4,1.17732534790262e-10,120,"GA",1.01056823672908
4,4,1,4,"true","true",128,4,1.26678340558663e-10,120,"GA",1.08735539821846
8,4,2,2,"true","true",1024,16,1.43169217579077e-10,120,"GA",1.22890638531243
24,6,1,4,"true","true",128,1,1.41490786848524e-10,120,"GA",1.21449941797015
12,6,2,4,"true","true",64,2,1.37227036791841e-10,120,"GA",1.17790112010532
12,6,2,2,"true","true",256,4,1.37382523351728e-10,120,"GA",1.17923575355171
8,4,2,2,"true","true",1024,8,1.43640248161835e-10,120,"GA",1.23294952042636
10,5,2,4,"true","false",128,1,1.42279592117531e-10,120,"GA",1.22127020185961
5,5,1,2,"true","true",256,4,1.17379768662026e-10,120,"GA",1.0075402356347
6,6,1,2,"true","true",1024,4,1.17842155236017e-10,120,"GA",1.01150917408997
20,5,1,2,"true","true",256,4,1.49742754407727e-10,120,"GA",1.28533095422056
6,6,1,2,"true","false",1024,8,1.17642516833282e-10,120,"GA",1.00979555916615
8,4,2,2,"true","false",128,1,1.44946489136578e-10,120,"GA",1.24416176214817
5,5,1,2,"true","false",256,8,1.21265648195401e-10,120,"GA",1.0408950464793
3,3,1,2,"true","false",256,4,1.36478520881495e-10,120,"GA",1.17147616369858
6,6,1,2,"true","true",128,2,1.18080485105728e-10,120,"GA",1.01355490084361
12,6,2,4,"true","true",256,2,1.35761365941573e-10,120,"GA",1.16532039711809
4,4,1,4,"true","true",512,2,1.23999015246297e-10,120,"GA",1.06435715851043
6,6,1,2,"true","true",256,1,1.17919974204394e-10,120,"GA",1.01217714049193
12,6,2,2,"true","false",64,1,1.38933012863511e-10,120,"GA",1.19254452546239
4,4,1,4,"true","false",128,2,1.25109511762482e-10,120,"GA",1.07388920934288
5,5,1,2,"true","true",512,8,1.18628082806223e-10,120,"GA",1.01825525698231
12,6,2,2,"true","true",256,2,1.36929473450724e-10,120,"GA",1.17534695730331
4,4,1,4,"true","true",512,2,1.23999015246297e-10,120,"GA",1.06435715851043
16,4,4,4,"true","false",128,2,1.57306422896745e-10,120,"GA",1.3502544109504
6,3,2,2,"true","true",1024,8,1.54065731950811e-10,120,"GA",1.32243763676092
8,4,2,2,"true","true",128,4,1.4493093093373e-10,120,"GA",1.24402821685717
16,4,4,4,"true","false",128,2,1.57306422896745e-10,120,"GA",1.3502544109504
4,4,1,2,"true","true",128,1,1.2777883632919e-10,120,"GA",1.09680160671411
6,6,1,4,"true","false",512,4,1.1888726151874e-10,120,"GA",1.02047994173043
4,4,1,4,"true","false",128,1,1.26473347752942e-10,120,"GA",1.08559582327524
5,5,1,2,"true","false",128,1,1.20098079634856e-10,120,"GA",1.03087311240991
10,5,1,2,"true","false",1024,16,1.60524943981692e-10,120,"GA",1.37788088806214
4,4,1,4,"true","false",512,8,1.25366521299284e-10,120,"GA",1.07609527476814
3,3,1,2,"true","true",512,16,1.37369946739904e-10,120,"GA",1.17912780102646
8,4,1,2,"true","true",512,2,1.49870070586283e-10,120,"GA",1.28642378456096
12,6,1,4,"true","true",512,4,1.3724725336929e-10,120,"GA",1.17807465099091
12,6,2,4,"true","true",256,4,1.35662211876773e-10,120,"GA",1.16446929891819
5,5,1,2,"true","true",256,4,1.17379768662026e-10,120,"GA",1.0075402356347
12,6,2,2,"true","true",512,8,1.34502841297936e-10,120,"GA",1.15451773299244
6,6,1,2,"true","true",1024,2,1.16501321248061e-10,120,"GA",0.999999999999996
4,4,1,2,"true","false",128,1,1.279739790298e-10,120,"GA",1.09847663235776
12,6,2,2,"true","true",512,8,1.34502841297936e-10,120,"GA",1.15451773299244
3,3,1,4,"true","false",512,2,1.35341152549115e-10,120,"GA",1.16171345611556
3,3,1,4,"true","true",512,4,1.35806763141539e-10,120,"GA",1.16571006823495
6,6,1,2,"true","true",512,2,1.1836397813052e-10,120,"GA",1.01598828976791
6,6,1,4,"true","true",512,8,1.18144018844621e-10,120,"GA",1.01410024864063
6,6,1,4,"true","true",1024,2,1.18398283203908e-10,120,"GA",1.01628275057763
10,5,2,2,"true","false",512,4,1.42308824451469e-10,120,"GA",1.22152112033525
10,5,2,4,"true","false",128,2,1.46639016401682e-10,120,"GA",1.25868972841475
2,2,1,2,"true","false",512,4,1.55269439447837e-10,120,"GA",1.33276977277561
10,5,1,2,"true","true",128,2,1.43886857500089e-10,120,"GA",1.23506631477352
4,4,1,4,"true","true",1024,4,1.28144380123423e-10,120,"GA",1.09993928610106
6,6,1,4,"true","true",512,1,1.21269798663001e-10,120,"GA",1.04093067240659
4,4,1,4,"true","true",1024,8,1.24992786636709e-10,120,"GA",1.07288728829579
6,6,1,2,"true","false",1024,8,1.17642516833282e-10,120,"GA",1.00979555916615
12,6,2,4,"true","true",512,4,1.34066482063271e-10,120,"GA",1.15077220264145
5,5,1,2,"true","true",256,4,1.17379768662026e-10,120,"GA",1.0075402356347
3,3,1,4,"true","false",512,2,1.35341152549115e-10,120,"GA",1.16171345611556
6,6,1,2,"true","true",1024,2,1.16501321248061e-10,120,"GA",0.999999999999996
6,6,1,2,"true","false",128,4,1.17732534790262e-10,120,"GA",1.01056823672908
6,3,2,4,"true","false",1024,4,1.53478841764969e-10,120,"GA",1.31740000989493
6,3,2,2,"true","true",1024,8,1.54065731950811e-10,120,"GA",1.32243763676092
12,6,1,2,"true","true",256,2,1.36286375373921e-10,120,"GA",1.16982686474201
12,6,2,2,"true","true",64,1,1.37576955915405e-10,120,"GA",1.18090468366851
12,6,1,2,"true","true",512,8,1.37483429796381e-10,120,"GA",1.18010189346817
6,6,1,2,"true","false",1024,8,1.17642516833282e-10,120,"GA",1.00979555916615
6,6,1,2,"true","true",1024,2,1.16501321248061e-10,120,"GA",0.999999999999996
10,5,2,4,"true","true",512,4,1.40742193789431e-10,120,"GA",1.20807379934992
5,5,1,4,"true","false",256,1,1.21422039933002e-10,120,"GA",1.04223744960337
6,6,1,2,"true","true",256,1,1.17919974204394e-10,120,"GA",1.01217714049193
5,5,1,2,"true","true",256,1,1.18611767942795e-10,120,"GA",1.01811521682436
5,5,1,2,"true","true",256,1,1.18611767942795e-10,120,"GA",1.01811521682436
10,5,2,2,"true","true",512,8,1.42061321707413e-10,120,"GA",1.21939665735574
10,5,1,2,"true","true",128,4,1.43724384012191e-10,120,"GA",1.23367170837629
10,5,2,2,"true","false",512,2,1.42703548929693e-10,120,"GA",1.22490927485569
6,6,1,4,"true","false",1024,1,1.25373995702647e-10,120,"GA",1.0761594320093
24,6,1,2,"true","true",128,4,1.42583344716509e-10,120,"GA",1.22387749073603
6,6,1,2,"true","false",256,4,1.17149348789584e-10,120,"GA",1.00556240508331
6,6,1,2,"true","true",128,2,1.18080485105728e-10,120,"GA",1.01355490084361
6,6,1,2,"true","true",512,8,1.18283916839785e-10,120,"GA",1.01530107618203
12,6,1,2,"true","false",512,2,1.37433629960714e-10,120,"GA",1.17967443191552
12,6,2,2,"true","false",256,1,1.39042634655403e-10,120,"GA",1.19348547437797
6,6,1,2,"true","false",512,4,1.23019310645269e-10,120,"GA",1.05594777232894
10,5,2,4,"true","false",256,2,1.41321341327822e-10,120,"GA",1.21304496647649
3,3,1,4,"true","true",256,4,1.35697524537269e-10,120,"GA",1.1647724084462
6,6,1,2,"true","false",256,1,1.18202032710546e-10,120,"GA",1.01459821609116
12,6,2,4,"true","true",64,1,1.38347474235025e-10,120,"GA",1.18751849981553
6,6,1,4,"true","true",1024,2,1.18398283203908e-10,120,"GA",1.01628275057763
12,6,2,4,"true","true",256,2,1.35761365941573e-10,120,"GA",1.16532039711809
10,5,1,4,"true","true",512,4,1.42250429448815e-10,120,"GA",1.22101988136192
5,5,1,2,"true","true",256,2,1.1931608789437e-10,120,"GA",1.02416081308052
6,6,1,4,"true","true",512,8,1.18144018844621e-10,120,"GA",1.01410024864063
5,5,1,2,"true","true",256,4,1.17379768662026e-10,120,"GA",1.0075402356347
6,6,1,2,"true","false",256,4,1.17149348789584e-10,120,"GA",1.00556240508331
4,4,1,4,"true","true",128,4,1.26678340558663e-10,120,"GA",1.08735539821846
6,6,1,4,"true","false",512,2,1.19525529098963e-10,120,"GA",1.02595857127201
24,6,1,2,"true","false",256,4,1.43289319112263e-10,120,"GA",1.22993728806872
12,6,2,4,"true","true",256,4,1.35662211876773e-10,120,"GA",1.16446929891819
6,6,1,4,"true","true",512,8,1.18144018844621e-10,120,"GA",1.01410024864063
20,5,4,2,"true","true",128,2,1.49275860125453e-10,120,"GA",1.28132332342915
6,6,1,4,"true","false",1024,4,1.18096841715479e-10,120,"GA",1.01369529933502
6,6,1,2,"true","false",128,4,1.17732534790262e-10,120,"GA",1.01056823672908
5,5,1,2,"true","true",1024,2,1.23041421447138e-10,120,"GA",1.05613756246722
4,4,1,2,"true","false",128,4,1.28025322109481e-10,120,"GA",1.09891734048992
6,6,1,2,"true","true",512,8,1.18283916839785e-10,120,"GA",1.01530107618203
10,5,2,4,"true","false",512,2,1.424814549876e-10,120,"GA",1.22300291070708
6,6,1,4,"true","true",512,8,1.18144018844621e-10,120,"GA",1.01410024864063
6,6,1,2,"true","false",256,1,1.18202032710546e-10,120,"GA",1.01459821609116
6,6,1,4,"true","true",256,2,1.19195652830312e-10,120,"GA",1.02312704743076
6,6,1,2,"true","true",512,4,1.1835008391896e-10,120,"GA",1.01586902750195
5,5,1,2,"true","false",512,4,1.17865496298058e-10,120,"GA",1.01170952428163
6,6,1,4,"true","false",1024,2,1.18717485534039e-10,120,"GA",1.0190226536681
8,4,2,2,"true","true",1024,2,1.49591549228381e-10,120,"GA",1.28403307040494
6,6,1,2,"true","true",128,1,1.18258966570151e-10,120,"GA",1.01508691320631
5,5,1,2,"true","true",256,2,1.1931608789437e-10,120,"GA",1.02416081308052
6,6,1,4,"true","true",512,8,1.18144018844621e-10,120,"GA",1.01410024864063
5,5,1,2,"true","false",128,4,1.18634851028728e-10,120,"GA",1.01831335265395
10,5,2,2,"true","true",512,16,1.44850841309322e-10,120,"GA",1.24334076006655
4,4,1,2,"true","true",256,1,1.2942682127942e-10,120,"GA",1.11094723985007
6,6,1,4,"true","true",256,2,1.19195652830312e-10,120,"GA",1.02312704743076
4,4,1,4,"true","true",1024,8,1.24992786636709e-10,120,"GA",1.07288728829579
4,4,1,4,"true","true",512,2,1.23999015246297e-10,120,"GA",1.06435715851043
6,6,1,4,"true","false",1024,4,1.18096841715479e-10,120,"GA",1.01369529933502
4,4,1,4,"true","true",1024,8,1.24992786636709e-10,120,"GA",1.07288728829579
20,5,2,2,"true","false",128,2,1.48340423840579e-10,120,"GA",1.27329391848461
20,5,2,2,"true","false",128,2,1.48340423840579e-10,120,"GA",1.27329391848461
6,6,1,2,"true","false",64,1,1.27347241011366e-10,120,"GA",1.09309696788941
4,4,1,4,"true","true",128,1,1.26537074253064e-10,120,"GA",1.08614282565632
3,3,1,4,"true","false",512,4,1.35429549481083e-10,120,"GA",1.16247221945851
24,6,4,2,"true","false",64,2,1.42507163271404e-10,120,"GA",1.22322358016841
24,6,1,2,"true","true",512,8,1.50151943867924e-10,120,"GA",1.28884327026826
3,3,1,4,"true","false",512,1,1.37669581615537e-10,120,"GA",1.18169974503897
5,5,1,2,"true","false",512,1,1.22282330349011e-10,120,"GA",1.04962183294591
6,6,1,2,"true","true",256,1,1.17919974204394e-10,120,"GA",1.01217714049193
4,4,1,4,"true","false",256,1,1.26186033154576e-10,120,"GA",1.08312963151631
5,5,1,2,"true","true",512,2,1.19786051216568e-10,120,"GA",1.02819478726351
12,6,2,4,"true","true",512,4,1.34066482063271e-10,120,"GA",1.15077220264145
12,6,1,2,"true","true",256,2,1.36286375373921e-10,120,"GA",1.16982686474201
6,6,1,2,"true","false",128,4,1.17732534790262e-10,120,"GA",1.01056823672908
12,6,2,4,"true","true",512,4,1.34066482063271e-10,120,"GA",1.15077220264145
6,6,1,2,"true","true",1024,2,1.16501321248061e-10,120,"GA",0.999999999999996
12,6,2,4,"true","true",256,2,1.35761365941573e-10,120,"GA",1.16532039711809
6,6,1,4,"true","false",128,2,1.18718825467539e-10,120,"GA",1.01903415511276
3,3,1,4,"true","false",512,2,1.35341152549115e-10,120,"GA",1.16171345611556
5,5,1,4,"true","false",512,8,1.22080038327934e-10,120,"GA",1.04788544044058
6,6,1,2,"true","false",128,4,1.17732534790262e-10,120,"GA",1.01056823672908
12,6,1,2,"true","false",512,4,1.36576491973056e-10,120,"GA",1.17231710773691
12,6,2,4,"true","false",256,4,1.36838289752556e-10,120,"GA",1.17456427349173
4,4,1,4,"true","false",1024,8,1.25784000386163e-10,120,"GA",1.07967874560269
12,6,1,4,"true","true",128,1,1.39718305403007e-10,120,"GA",1.19928515750916
5,5,1,2,"true","false",512,4,1.17865496298058e-10,120,"GA",1.01170952428163
5,5,1,2,"true","true",256,4,1.17379768662026e-10,120,"GA",1.0075402356347
6,6,1,4,"true","false",256,4,1.18527144018137e-10,120,"GA",1.01738883944296
6,6,1,2,"true","true",256,1,1.17919974204394e-10,120,"GA",1.01217714049193
12,6,2,2,"true","false",256,2,1.37455954892558e-10,120,"GA",1.17986606005848
6,6,1,4,"true","false",512,8,1.18483530341257e-10,120,"GA",1.01701447736352
12,6,2,4,"true","true",256,4,1.35662211876773e-10,120,"GA",1.16446929891819
4,4,1,2,"true","false",128,2,1.27175815907958e-10,120,"GA",1.09162552446223
4,4,1,2,"true","false",512,16,1.30082949623258e-10,120,"GA",1.1165791789286
5,5,1,2,"true","true",512,8,1.18628082806223e-10,120,"GA",1.01825525698231
6,6,1,4,"true","false",128,2,1.18718825467539e-10,120,"GA",1.01903415511276
3,3,1,4,"true","true",128,4,1.40785595997549e-10,120,"GA",1.20844634626744
12,6,1,2,"true","false",256,2,1.37171059143269e-10,120,"GA",1.17742063071711
6,6,1,4,"true","false",256,1,1.19886821794317e-10,120,"GA",1.02905976095367
8,4,2,2,"true","true",256,1,1.51623946297888e-10,120,"GA",1.30147834096269
12,6,2,2,"true","true",512,8,1.34502841297936e-10,120,"GA",1.15451773299244
4,4,1,4,"true","true",1024,4,1.28144380123423e-10,120,"GA",1.09993928610106
6,6,1,2,"true","true",1024,4,1.17842155236017e-10,120,"GA",1.01150917408997
20,5,1,4,"true","true",256,4,1.49614230641709e-10,120,"GA",1.28422775844011
8,4,2,2,"true","false",128,1,1.44946489136578e-10,120,"GA",1.24416176214817
5,5,1,4,"true","false",128,2,1.22318069740129e-10,120,"GA",1.04992860535618
12,6,1,2,"true","true",64,1,1.39853846630625e-10,120,"GA",1.20044858832837
6,6,1,2,"true","true",256,2,1.1808319494789e-10,120,"GA",1.01357816102755
5,5,1,2,"true","false",128,2,1.18427245214453e-10,120,"GA",1.01653134870712
24,6,2,4,"true","true",128,4,1.42596822850907e-10,120,"GA",1.22399318156471
4,4,1,4,"true","true",512,4,1.25569585107033e-10,120,"GA",1.07783829197665
6,3,2,2,"true","false",128,4,1.5817793699039e-10,120,"GA",1.35773513378091
12,6,2,4,"true","true",128,4,1.3731975529994e-10,120,"GA",1.17869697810165
12,6,1,2,"true","true",64,1,1.39853846630625e-10,120,"GA",1.20044858832837
8,4,2,2,"true","true",256,8,1.46263673963271e-10,120,"GA",1.25546794144796
5,5,1,2,"true","true",256,4,1.17379768662026e-10,120,"GA",1.0075402356347
6,6,1,4,"true","false",512,8,1.18483530341257e-10,120,"GA",1.01701447736352
4,4,1,4,"true","false",512,8,1.25366521299284e-10,120,"GA",1.07609527476814
4,4,1,4,"true","false",1024,4,1.25778542785017e-10,120,"GA",1.07963189977221
6,6,1,4,"true","false",1024,4,1.18096841715479e-10,120,"GA",1.01369529933502
6,6,1,2,"true","false",256,4,1.17149348789584e-10,120,"GA",1.00556240508331
5,5,1,2,"true","false",128,2,1.18427245214453e-10,120,"GA",1.01653134870712
12,6,2,4,"true","true",256,2,1.35761365941573e-10,120,"GA",1.16532039711809
4,4,1,4,"true","true",512,16,1.27430932130334e-10,120,"GA",1.09381533844582
6,6,1,4,"true","false",64,1,1.26460519328544e-10,120,"GA",1.08548570929318
6,6,1,2,"true","true",512,4,1.1835008391896e-10,120,"GA",1.01586902750195
6,6,1,2,"true","true",256,2,1.1808319494789e-10,120,"GA",1.01357816102755
